Self-Braking Tuning, https://zju-real.github.io/SBT
CoT-Bridge, https://ZJU-REAL.github.io/CoT-Bridge
ViewSpatial-Bench, https://zju-real.github.io/ViewSpatial-Page
InftyThink, https://ZJU-REAL.github.io/InftyThink
VerifyBench, https://ZJU-REAL.github.io/VerifyBench
Cooper, https://ZJU-REAL.github.io/cooper
GUI-RC, https://ZJU-REAL.github.io/gui-rc
